Direction,ID,LEN,PLC,DATA,CRC,
"from",0x31,0x0D,0xF2,"0x26 0x01 0x00 0x07 0x49 0x05 0x05 0x0F 0x10 0x10 0x10 0x1F",0xA7,
"from",0x31,0x0D,0xF2,"0x27 0x01 0x00 0x0D 0x49 0x05 0x05 0x1F 0x01 0x01 0x01 0x1E",0xAC,
"from",0x31,0x09,0xF6,"0x28 0x01 0x00 0x13 0x47 0x07 0x01 0x7D",0xC8,
"from",0x31,0x0D,0xF2,"0x29 0x01 0x00 0x15 0x49 0x05 0x05 0x1F 0x01 0x01 0x01 0x1E",0xBA,
"from",0x31,0x0D,0xF2,"0x2A 0x01 0x00 0x1B 0x49 0x07 0x05 0x0E 0x51 0x51 0x51 0x3F",0xD5,
"from",0x39,0x08,0xF7,"0x2B 0x01 0x02 0xC8 0x29 0x1B 0x18",0x0C,
"from",0x31,0x38,0xC7,"0x2C 0x01 0x00 0xC9 0x29 0x1B 0x0C 0x00 0x00 0x00 0x06 0x00 0x00 0x80 0x05 0x00 0x00 0x60 0x04 0x00 0x00 0x18 0x04 0x00 0x00 0x06 0x07 0x00 0xC0 0xC1 0x00 0x00 0x3C 0x30 0x00 0xFC 0x03 0x0C 0x00 0x03 0x80 0x03 0x00 0x01 0x78 0x00 0x00 0xC1 0x07 0x00 0x00 0x3F 0x00 0x00 0x00",0x10,
"from",0x39,0x08,0xF7,"0x2D 0x01 0x00 0xD1 0x29 0x01 0x0F",0x1C,
"from",0x39,0x08,0xF7,"0x2E 0x01 0x00 0xC8 0x43 0x01 0x18",0x7B,
"from",0x39,0x08,0xF7,"0x2F 0x01 0x02 0xC1 0x45 0x0B 0x1F",0x7A,
"from",0x31,0x0D,0xF2,"0x30 0x01 0x00 0xC2 0x47 0x07 0x05 0x26 0x49 0x49 0x49 0x32",0x25,
"from",0x31,0x0D,0xF2,"0x31 0x01 0x00 0xC8 0x49 0x05 0x05 0x0E 0x11 0x11 0x11 0x0E",0x6E,
"from",0x31,0x0D,0xF2,"0x32 0x01 0x00 0xCE 0x49 0x05 0x05 0x0F 0x10 0x10 0x10 0x1F",0x7A,
"from",0x31,0x0D,0xF2,"0x33 0x01 0x00 0xD4 0x49 0x05 0x05 0x1F 0x01 0x01 0x01 0x1E",0x61,
"from",0x31,0x0D,0xF2,"0x34 0x01 0x00 0xDA 0x47 0x07 0x05 0x38 0x44 0x44 0x44 0x7F",0x67,
"from",0x39,0x08,0xF7,"0x35 0x01 0x02 0x3A 0x00 0x0B 0x22",0xE3,
"from",0x39,0x08,0xF7,"0x36 0x01 0x02 0x5C 0x00 0x0B 0x06",0xA2,
"from",0x31,0x0D,0xF2,"0x37 0x01 0x00 0x5C 0x02 0x07 0x05 0x7F 0x09 0x19 0x29 0x46",0xA4,
"from",0x39,0x08,0xF7,"0x38 0x01 0x02 0x62 0x00 0x0B 0x06",0x92,
"from",0x31,0x0D,0xF2,"0x39 0x01 0x00 0x63 0x04 0x05 0x05 0x0E 0x11 0x11 0x1F 0x10",0x90,
"from",0x39,0x08,0xF7,"0x3A 0x01 0x02 0x68 0x00 0x0B 0x06",0x9A,
"from",0x31,0x0D,0xF2,"0x3B 0x01 0x00 0x69 0x02 0x07 0x05 0x38 0x44 0x44 0x44 0x7F",0x9E,
"from",0x39,0x08,0xF7,"0x3C 0x01 0x02 0x6E 0x00 0x0B 0x02",0x9E,
"from",0x31,0x09,0xF6,"0x3D 0x01 0x00 0x6F 0x02 0x07 0x01 0x7D",0xE4,
"to",0x0A,0x06,0xF9,"0x07 0x02 0x00 0x0F 0x05",0xFA,
"from",0x0D,0x02,0xFD,"0x07",0xF5,
"from",0x39,0x08,0xF7,"0x3E 0x01 0x02 0x70 0x00 0x0B 0x06",0x86,
"to",0x0A,0x06,0xF9,"0x08 0x02 0x02 0x16 0x22",0xC9,
"from",0x0D,0x02,0xFD,"0x08",0xFA,
"from",0x31,0x0D,0xF2,"0x3F 0x01 0x00 0x71 0x04 0x05 0x05 0x0E 0x11 0x11 0x11 0x0E",0x94,
